date,segment,engine,businesses_named_count,businesses_named
2026-08-30,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,11,"Shawn R. Miller;GJEL Accident Attorneys;Mirador Law;Duncan Law Firm, P.C;Fuerch Law;Karns & Karns;Law Office of Chuck Geerhart;Recognition/awards;Case focus;Local office and accessibility;Consultation terms"
2026-08-30,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,6,Local resources;State Bar of California;Alameda County Bar Association;Google/Yelp reviews;Questions to ask;Other options
2026-08-30,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,9,"Pleasanton, CA;Alameda County courts;Bonjour, Thorman, & Baratti;Specialty;Law Offices of Timothy B. Lien;GJEL Accident Attorneys;Sally Morin Personal Injury Lawyers;Obtain the Police Report;Pleasanton Police Department"
2026-08-30,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,0,
2026-08-30,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,5,Pleasanton-based car accident injury lawyer;GJEL Accident Attorneys;The Law Offices of Stephen M. Fuerch;Clapp Moroney l Vucinich l Beeman Scheley;Mirador Law
2026-08-31,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,6,State Bar of California;Google Reviews & Yelp;Avvo.com;Local bar associations;Ask for recommendations;Key things to evaluate
2026-08-31,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,0,
2026-08-31,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,0,
2026-08-31,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,10,Shawn R. Miller;Personal Injury Litigation - Plaintiffs;J. Michael Hosterman;Chuck Geerhart;GJEL Accident Attorneys;Tom Sokat;Practice fit;Recognition;Location and access;Fee structure
2026-08-31,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,3,Local resources;Questions to ask;Also consider
2026-08-31,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,18,"Pleasanton and the Tri-Valley area;Alameda County Superior Court;GJEL Accident Attorneys;Location;Specialty;Reputation;Berg Injury Lawyers;Walkup, Melodia, Kelly & Schoenberger;Sally Morin Personal Injury Lawyers;Local Tri-Valley Solo Practitioners / Boutique Firms;Trial Experience;Specialization;Communication;Fee Agreement;California Statute of Limitations;California's Pure Comparative Fault;Do Not Give Recorded Statements;Keep Treating"
2026-08-31,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,0,
2026-08-31,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,5,"GJEL Accident Attorneys;Duncan Law Firm, P.C;The Law Offices of J. Michael Hosterman;The Law Offices of Stephen M. Fuerch;Law Office of Tom Sokat"
2026-09-01,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,6,State Bar of California;Google Reviews & Yelp;Avvo.com;Local bar associations;Ask for recommendations;Key things to evaluate
2026-09-01,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,13,GJEL Accident Attorneys;Location;Specialties;Reputation;The Nevin Law Firm;Edward J. Nevin;Bonner & Bonner;Law Offices of Daniel Weltin;Sally Morin Personal Injury Lawyers;Local Experience;Relevant Experience;Communication Style;Trial Readiness
2026-09-01,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,0,
2026-09-01,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,6,"Shawn R. Miller;Personal Injury Litigation - Plaintiffs;John Michael Hosterman;Chuck Geerhart;GJEL Accident Attorneys;Duncan Law Firm, P.C"
2026-09-01,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,7,Local resources;State Bar of California;Alameda County Bar Association;Google/Yelp reviews;Avvo.com;Questions to ask;Red flags
2026-09-01,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,18,"Pleasanton, CA;Alameda County;Bonjour, Thorman, Burns & Chang;Location;Specialty;The Law Offices of Zachary Smith;GJEL Accident Attorneys;Sally Morin Personal Injury Lawyers;Walkup, Melodia, Kelly & Schoenberger;Specialization;Trial Experience;Communication;No Upfront Costs;Seek Medical Attention Immediately;Do NOT Give a Recorded Statement;Do not agree to a recorded statement;Document Everything;Mind the Statute of Limitations"
2026-09-01,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,0,
2026-09-01,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,7,"GJEL Accident Attorneys;Duncan Law Firm, P.C;The Law Offices of Stephen M. Fuerch;Stephen M. Fuerch;Car-accident focus;Local Pleasanton/Alameda County experience;Clear communication and direct attorney access"
2026-09-02,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,6,State Bar of California;Google Reviews & Yelp;Avvo.com;Local bar associations;Ask for recommendations;Key things to look for
2026-09-02,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,0,
2026-09-02,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,0,
2026-09-02,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,0,
2026-09-02,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,6,Local resources;State Bar of California;Alameda County Bar Association;Google/Yelp reviews;Questions to ask;Other options
2026-09-02,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,0,
2026-09-02,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,0,
2026-09-02,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,0,
2026-09-03,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,6,State Bar of California;Google Reviews & Yelp;Avvo.com;Local bar associations;Ask for recommendations;Key things to evaluate
2026-09-03,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,0,
2026-09-03,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,0,
2026-09-03,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,0,
2026-09-03,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,6,Local resources;State Bar of California;Alameda County Bar Association;Google/Yelp reviews;Questions to ask;Also consider
2026-09-03,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,0,
2026-09-03,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,0,
2026-09-03,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,0,
2026-09-04,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,7,State Bar of California;Google Reviews & Yelp;Avvo.com;Local bar associations;Ask for referrals;Consultations;Key things to look for
2026-09-04,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,0,
2026-09-04,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,0,
2026-09-04,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,0,
2026-09-04,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,2,Local resources;Questions to ask
2026-09-04,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,16,"Local Alameda County Experience;Alameda County Superior Court system;Trial Experience;Dedicated Personal Injury Focus;Contingency Fee Structure;Law Offices of Micah R. Leopard;Bonjour, Thorman, Burns & Chang;Mallen Law;GJEL Accident Attorneys;Harris Personal Injury Lawyers, Inc;Gwilliam Ivary Chiosso Cavalli & Brewer;Seek/Continue Medical Treatment;Do Not Give a Recorded Statement;Politely decline;Obtain the Police Report;Preserve Evidence"
2026-09-04,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,0,
2026-09-04,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,0,
2026-09-05,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,7,State Bar of California;Google Reviews & Yelp;Avvo.com;Local bar associations;Ask for recommendations;Consultations;Key things to evaluate
2026-09-05,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,0,
2026-09-05,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,0,
2026-09-05,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,9,"J. Michael Hosterman;Duncan Law Firm, P.C;Law Office of Chuck Geerhart;Tom Sokat;Mirador Law;Relevant case experience;Peer recognition;Local office presence;Consultation and fee structure"
2026-09-05,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,3,Local resources;Questions to ask;Also consider
2026-09-05,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,0,
2026-09-05,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,0,
2026-09-05,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,9,"Pleasanton-based car accident lawyer;GJEL Accident Attorneys;The Law Offices of J. Michael Hosterman;The Law Office of Mervin T. Hosain;Duncan Law Firm, P.C;Harris Personal Injury Lawyers;Stephen M. Fuerch;Experience with car accidents specifically;Recent case results and reviews"
2026-09-06,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,7,Research methods;State Bar of California;Google Reviews & Yelp;Avvo.com;Local bar associations;Ask for referrals;Questions to ask
2026-09-06,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,0,
2026-09-06,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,4,CA State Bar;Super Lawyers;Lawyers.com;Alameda County
2026-09-06,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,8,"Mirador Law;Tom Sokat;Chuck Geerhart;Fuerch Legal;Duncan Law Firm, P.C;Peer ratings;Directory rankings;Local office and consultation availability"
2026-09-06,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,6,Local resources;State Bar of California;Alameda County Bar Association;Google/Yelp reviews;Questions to ask;Other options
2026-09-06,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,16,"Alameda County courts;Walkup, Melodia, Kelly & Schoenberger;Law Offices of Zachary B. Schultz;The Barnes Firm;Local Tri-Valley Solo Practitioners / Boutique Firms;State Bar of California (calbar.ca.gov);Local Experience;Focus;Trial Willingness;Primary Contact;Out-of-Pocket Expenses;Get the Police Report;Pleasanton Police Department;CHP (Dublin Office);Do Not Give a Recorded Statement;Follow Medical Treatment"
2026-09-06,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,1,Alameda County
2026-09-06,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,3,"Pleasanton car-accident injury case;The Law Offices of Stephen M. Fuerch;Duncan Law Firm, P.C"
2026-09-07,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,5,State Bar of California;Google Reviews & Yelp;Local bar associations;Ask for recommendations;Key things to evaluate
2026-09-07,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,12,"Bonjour, Thorman, Arra & Patel;Location;Overview;Known For;Maison Law (Martin Gasparian);Harris Personal Injury Lawyers, Inc;Law Offices of Edward A. Smith (AutoAccident.com);Check California State Bar Records;Look for Relevant Case Experience;Inquire About Trial Experience;Understand the Fee Structure;Schedule Free Consultations"
2026-09-07,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,1,Pleasanton and Tri
2026-09-07,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,9,Mirador Law;Tom Sokat;J. Michael Hosterman;Fuerch Legal;Super Lawyers;Martindale-Hubbell;Avvo;Justia;Expertise.com
2026-09-07,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,2,Local resources;Questions to ask
2026-09-07,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,12,"Local Tri-Valley / Alameda County Firms;Law Offices of Christopher Bonfante (Pleasanton, CA);Mazzola Law Office (Dublin / Tri-Valley);Walkup, Melodia, Kelly & Schoenberger (San Francisco);Check the State Bar of California;Active;Check Local Court Experience;Alameda County Superior Court;Review Client Ratings;Statute of Limitations;Government Exception (IMPORTANT);Comparative Fault"
2026-09-07,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,1,Tri-Valley
2026-09-07,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,8,Law Offices of Stephen M. Fuerch;The Law Offices of J. Michael Hosterman;Mirador Law;GJEL Accident Attorneys;Wynn Law Group;Stephen M. Fuerch;Another strong local option;J. Michael Hosterman
2026-09-08,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,7,Research methods;State Bar of California;Google Reviews & Yelp;Avvo.com;Local bar associations;Ask for referrals;Next steps
2026-09-08,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,0,
2026-09-08,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,3,Super Lawyers;Walnut Creek;San Ramon
2026-09-08,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,10,Chuck Geerhart;Tom Sokat;GJEL Accident Attorneys;John Michael Hosterman;Thomas Edward Sokat;Case type match;Local experience;Track record;Client reviews;Fee structure
2026-09-08,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,6,Local resources;State Bar of California;Alameda County Bar Association;Google/Yelp reviews;Questions to ask;Other options
2026-09-08,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,18,"Personal Injury lawyer;Alameda County;Local Boutique Firms;Large Regional/Bay Area Personal Injury Firms;Local Tri-Valley / Pleasanton Boutique Firms;Bonjour & Thorman, ABTL;Law Office of Ivan O.B. Morse;GJEL Accident Attorneys;Sally Morin Personal Injury Lawyers;Gwilliam Ivary Chiosso Cavalli & Brewer;State Bar of California (calbar.ca.gov);Hands-on Attention;Trial Experience;Costs;Statute of Limitations;Government Entity Exception;Do Not Give a Recorded Statement;Do not"
2026-09-08,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,2,Alameda County;Cal. Code Civ. Proc
2026-09-08,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,5,"GJEL Accident Attorneys;Pleasanton office;The Law Offices of Stephen M. Fuerch;East Bay, including Pleasanton;The Law Offices of J. Michael Hosterman"
2026-09-09,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,7,Research methods;State Bar of California;Google Reviews & Yelp;Avvo.com;Local bar associations;Ask for referrals;Next steps
2026-09-09,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,13,"GJEL Accident Attorneys;Location;Specialties;Reputation;Bon Futterman (Bon Futterman Law);Sally Morin Personal Injury Lawyers;Walkup, Melodia, Kelly & Schoenberger;Specialization;Trial Experience;Contingency Fee Structure;Local Knowledge;Schedule Free Consultations;Ask These Key Questions"
2026-09-09,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,4,Super Lawyers;Northern California;Google and Yelp;Contra Costa County
2026-09-09,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,8,Super Lawyers;Martindale-Hubbell/Justia/Avvo;Mirador Law;GJEL Accident Attorneys;Tom Sokat / Tom Sokat Law;Chuck Geerhart;John Michael Hosterman;Edward Randolph Sullivan
2026-09-09,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,6,Local resources;State Bar of California;Alameda County Bar Association;Google/Yelp reviews;Questions to ask;Other options
2026-09-09,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,0,
2026-09-09,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,1,Alameda County
2026-09-09,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,4,Pleasanton car accident injury case;GJEL Accident Attorneys;The Law Offices of J. Michael Hosterman;The Law Office of Mervin T. Hosain
2026-09-10,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,7,Research methods;State Bar of California;Google Reviews & Yelp;Avvo.com;Local bar associations;Ask for referrals;Questions to ask
2026-09-10,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,6,"Bonjour, Thorman, Burns & Gegenhuber (Pleasanton, CA);Specialties;Overview;Harris Personal Injury Lawyers (East Bay Office);Check the California State Bar;Read Unbiased Reviews"
2026-09-10,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,2,Super Lawyers;California State Bar
2026-09-10,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,5,GJEL Accident Attorneys;Mirador Law;Fuerch Mace & Cummings;Fuerch Legal;Tom Sokat
2026-09-10,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,6,Local resources;State Bar of California;Alameda County Bar Association;Google/Yelp reviews;Questions to ask;Other options
2026-09-10,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,14,"Pleasanton, CA;Pleasanton Police Department;CHP Dublin;Alameda County Superior Court;Location;Reputation;Harris Personal Injury Lawyers, Inc;Sally Morin Personal Injury Lawyers;Walkup, Melodia, Kelly & Schoenberger;Get Medical Treatment;Obtain the Police Report;Do NOT Give a Recorded Statement;Do not give a recorded statement;Document Everything"
2026-09-10,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,4,Alameda County;Contra Costa Bar Association;Super Lawyers;Typical
2026-09-10,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,7,"Pleasanton-based car accident lawyer;GJEL Accident Attorneys;The Law Offices of J. Michael Hosterman;Mirador Law;Reardon Injury Law;Anand Desai Law Firm;O’Connor, Runckel & O’Malley LLP"
